trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
139,False,"{'a': 0.1999999999999996, 'e': 0.015922851504511698}",20,5,21.45416381733872,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.1999999999999996, 'e': 0.015452260123909515}",20,2,27.82461417143746,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.1999999999999996, 'e': 0.014995576820477703}",35,24,21.90441070635691,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.1999999999999996, 'e': 0.014552390548416136}",20,8,19.110012840021046,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.1999999999999996, 'e': 0.014122302410163962}",20,3,29.57593092515178,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.1999999999999996, 'e': 0.013704925297364945}",25,16,16.690423833649547,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.1999999999999996, 'e': 0.013299883542443767}",30,13,32.06121676575188,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.1999999999999996, 'e': 0.012906812580479873}",30,19,-2.8685223975003336,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
147,False,"{'a': 0.1999999999999996, 'e': 0.012525358621074385}",35,6,39.05371332593754,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.1999999999999996, 'e': 0.012155178329914935}",30,10,33.76669420524686,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.1999999999999996, 'e': 0.011795938519751572}",25,11,27.921141510934536,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.1999999999999996, 'e': 0.01144731585050571}",20,0,31.355413047158027,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
151,False,"{'a': 0.1999999999999996, 'e': 0.011108996538242306}",20,12,15.180246423629697,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.1999999999999996, 'e': 0.010780676072743084}",25,14,20.029521267887425,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.1999999999999996, 'e': 0.010462058943426803}",30,16,26.5139009734265,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.1999999999999996, 'e': 0.010152858373369763}",25,17,12.828213118557043,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.1999999999999996, 'e': 0.009852796061187257}",30,12,18.326755362651564,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0.1999999999999996, 'e': 0}",30,24,9.990669269200902,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.1999999999999996, 'e': 0}",25,1,34.51796613740696,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.1999999999999996, 'e': 0}",25,10,26.377828729395926,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.1999999999999996, 'e': 0}",20,2,30.904635762157298,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.1999999999999996, 'e': 0}",20,16,9.87314359984893,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.1999999999999996, 'e': 0}",25,0,36.32727417757595,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.1999999999999996, 'e': 0}",20,12,9.155181377040272,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.1999999999999996, 'e': 0}",20,16,7.283338886574319,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.1999999999999996, 'e': 0}",25,12,21.15956151182947,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.1999999999999996, 'e': 0}",30,17,20.648625077612927,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
